,Date,close_price,rv5,y_t,x_t,X_t
0,2010-01-05,10569.9,2.33e-05,-0.0014436258213242163,-12.66926320947374,-10.66705719739262
1,2010-01-06,10573.15,1.9e-05,0.0003074296305969545,-21.382442501966555,-10.871071578797833
2,2010-01-07,10605.87,3.55e-05,0.003089852696867182,-11.78528157379594,-10.245977861482904
3,2010-01-08,10617.29,2.55e-05,0.0010761829154746312,-14.401544287437957,-10.576832105799893
4,2010-01-11,10664.75,2.47e-05,0.004460106143489691,-10.978988292781409,-10.608707314330342
5,2010-01-12,10627.04,6.54e-05,-0.0035422141050443353,-11.107768094240003,-9.63498829950112
6,2010-01-13,10682.51,3.58e-05,0.005206128265226195,-10.646878629853662,-10.23756266455762
7,2010-01-14,10709.56,1.75e-05,0.0025289758697512725,-12.239684757607133,-10.953309677034806
8,2010-01-15,10608.29,3.4e-05,-0.009501029587762545,-9.24438795509842,-10.289150033348113
9,2010-01-19,10724.75,1.84e-05,0.01091838359103323,-9.09602827771064,-10.903159893349335
10,2010-01-20,10602.55,0.00010251,-0.011459616294700043,-8.881042811823821,-9.185550203168964
11,2010-01-21,10383.84,0.000129915,-0.020843786701856125,-7.7099663028661265,-8.948630167513157
12,2010-01-22,10169.13,0.000136395,-0.020894090844021163,-7.7052204280895555,-8.899955470118288
13,2010-01-25,10195.28,0.000113457,0.002568207414121578,-12.204314902327763,-9.084086647451912
14,2010-01-26,10191.35,9.01e-05,-0.0003855468067730224,-14.484442602643414,-9.314590393349983
15,2010-01-27,10236.01,8.34e-05,0.004372573955324799,-11.021833111522351,-9.391862248599573
16,2010-01-28,10119.02,0.000149237,-0.011495074015625004,-8.875036850869844,-8.809974911662732
17,2010-01-29,10060.6,0.000165571,-0.005790016185370706,-10.192324424205335,-8.706110452121495
18,2010-02-01,10186.28,9.37e-05,0.012414911754410967,-8.831623823746703,-9.275412368719898
19,2010-02-02,10296.77,4.38e-05,0.010788537027654725,-9.120706538680775,-10.035876740581873
20,2010-02-03,10267.68,6.07e-05,-0.0028291560827863682,-11.51479095354688,-9.709566859898821
21,2010-02-04,9999.69,0.00017032,-0.026447005225931883,-7.240410599362492,-8.67783153737905
22,2010-02-05,10015.56,0.000215831,0.0015857911668086988,-13.360255096219172,-8.44101486392794
23,2010-02-08,9908.24,8.87e-05,-0.010773149496377827,-9.001021718758794,-9.33025066864874
24,2010-02-09,10058.33,0.000278507,0.015034412731298163,-8.43923886781333,-8.186067364262895
25,2010-02-10,10037.1,7.39e-05,-0.0021129189968380254,-12.028981368639547,-9.512797730010119
26,2010-02-11,10146.91,9.13e-05,0.0108809977225482,-9.103102566233128,-9.301359770363351
27,2010-02-12,10111.09,0.000220874,-0.0035363843746120185,-11.11078128603317,-8.417918154782313
28,2010-02-16,10269.79,8.37e-05,0.015573734558518657,-8.367196162648899,-9.388271580468844
29,2010-02-17,10310.75,5.46e-05,0.003980464466060762,-11.225896716849952,-9.815476675213414
30,2010-02-18,10392.0,3.36e-05,0.007849239077355977,-9.780626775877016,-10.300984490995116
31,2010-02-19,10399.4,3.8e-05,0.0007118328070709757,-15.741963673352547,-10.177924398237888
32,2010-02-22,10383.23,3.58e-05,-0.001556107505443868,-12.546296373347147,-10.23756266455762
33,2010-02-23,10283.47,8.05e-05,-0.009654252961499046,-9.213457536365619,-9.427253373539756
34,2010-02-24,10373.93,7.35e-05,0.008758176559690058,-9.552390805864194,-9.518225151745483
35,2010-02-25,10325.49,0.000252399,-0.004680332919978977,-10.59243663174729,-8.284499389270199
36,2010-02-26,10326.02,4.36e-05,5.132796585973807e-05,-16.369706172903584,-10.040453407609286
37,2010-03-01,10400.69,3.89e-05,0.0072052267863671965,-9.959711727580116,-10.154516307339874
38,2010-03-02,10401.52,4.38e-05,7.97992136835905e-05,-16.585108378054713,-10.035876740581873
39,2010-03-03,10395.62,2.25e-05,-0.000567385723063906,-14.031663226718099,-10.7019952487539
40,2010-03-04,10442.71,2.98e-05,0.004519563722888603,-10.95040010565898,-10.421002164452915
41,2010-03-05,10567.1,4.2e-05,0.011841273524109956,-8.928886954304534,-10.077840939680906
42,2010-03-08,10550.25,1.83e-05,-0.001595844514204539,-12.504601374348404,-10.908609498116899
