"Date","Price","Open","High","Low","Change %"
"Feb 28, 1985","1.0790","1.0790","1.0790","1.0790","-0.78%"
"Feb 27, 1985","1.0875","1.0875","1.0875","1.0875","3.37%"
"Feb 26, 1985","1.0520","1.0520","1.0520","1.0520","-0.24%"
"Feb 25, 1985","1.0545","1.0545","1.0545","1.0545","-2.04%"
"Feb 22, 1985","1.0765","1.0765","1.0765","1.0765","-0.46%"
"Feb 21, 1985","1.0815","1.0815","1.0815","1.0815","-0.46%"
"Feb 20, 1985","1.0865","1.0865","1.0865","1.0865","-0.59%"
"Feb 19, 1985","1.0929","1.0929","1.0929","1.0929","-0.83%"
"Feb 15, 1985","1.1020","1.1020","1.1020","1.1020","0.92%"
"Feb 14, 1985","1.0920","1.0920","1.0920","1.0920","0.41%"
"Feb 13, 1985","1.0875","1.0875","1.0875","1.0875","-0.87%"
"Feb 11, 1985","1.0970","1.0970","1.0970","1.0970","-1.08%"
"Feb 08, 1985","1.1090","1.1090","1.1090","1.1090","-0.63%"
"Feb 07, 1985","1.1160","1.1160","1.1160","1.1160","0.22%"
"Feb 06, 1985","1.1135","1.1135","1.1135","1.1135","0.21%"
"Feb 05, 1985","1.1112","1.1112","1.1112","1.1112","-0.25%"
"Feb 04, 1985","1.1140","1.1140","1.1140","1.1140","-0.89%"
"Feb 01, 1985","1.1240","1.1240","1.1240","1.1240","-0.57%"
"Jan 31, 1985","1.1305","1.1305","1.1305","1.1305","0.40%"
"Jan 30, 1985","1.1260","1.1260","1.1260","1.1260","1.10%"
"Jan 29, 1985","1.1138","1.1138","1.1138","1.1138","0.25%"
"Jan 28, 1985","1.1110","1.1110","1.1110","1.1110","0.09%"
"Jan 25, 1985","1.1100","1.1100","1.1100","1.1100","-0.72%"
"Jan 24, 1985","1.1180","1.1180","1.1180","1.1180","0.72%"
"Jan 23, 1985","1.1100","1.1100","1.1100","1.1100","-1.20%"
"Jan 22, 1985","1.1235","1.1235","1.1235","1.1235","0.36%"
"Jan 18, 1985","1.1195","1.1195","1.1195","1.1195","0.07%"
"Jan 17, 1985","1.1187","1.1187","1.1187","1.1187","0.15%"
"Jan 16, 1985","1.1170","1.1170","1.1170","1.1170","-0.22%"
"Jan 15, 1985","1.1195","1.1195","1.1195","1.1195","0.77%"
"Jan 14, 1985","1.1110","1.1110","1.1110","1.1110","-1.20%"
"Jan 11, 1985","1.1245","1.1245","1.1245","1.1245","-0.84%"
"Jan 10, 1985","1.1340","1.1340","1.1340","1.1340","-0.61%"
"Jan 09, 1985","1.1410","1.1410","1.1410","1.1410","-0.57%"
"Jan 08, 1985","1.1475","1.1475","1.1475","1.1475","0.53%"
"Jan 07, 1985","1.1415","1.1415","1.1415","1.1415","-1.04%"
"Jan 04, 1985","1.1535","1.1535","1.1535","1.1535","0.26%"
"Jan 03, 1985","1.1505","1.1505","1.1505","1.1505","0.22%"
"Jan 02, 1985","1.1480","1.1480","1.1480","1.1480","-0.86%"
"Dec 31, 1984","1.1580","1.1580","1.1580","1.1580","-0.43%"
"Dec 28, 1984","1.1630","1.1630","1.1630","1.1630","0.04%"
"Dec 27, 1984","1.1625","1.1625","1.1625","1.1625","-0.73%"
"Dec 26, 1984","1.1710","1.1710","1.1710","1.1710","-0.17%"
"Dec 24, 1984","1.1730","1.1730","1.1730","1.1730","0.00%"
"Dec 21, 1984","1.1730","1.1730","1.1730","1.1730","0.73%"
"Dec 20, 1984","1.1645","1.1645","1.1645","1.1645","-0.88%"
"Dec 19, 1984","1.1748","1.1748","1.1748","1.1748","-0.94%"
"Dec 18, 1984","1.1860","1.1860","1.1860","1.1860","-0.42%"
"Dec 17, 1984","1.1910","1.1910","1.1910","1.1910","-0.21%"
"Dec 14, 1984","1.1935","1.1935","1.1935","1.1935","0.34%"
"Dec 13, 1984","1.1895","1.1895","1.1895","1.1895","-0.77%"
"Dec 12, 1984","1.1987","1.1987","1.1987","1.1987","-0.03%"
"Dec 11, 1984","1.1990","1.1990","1.1990","1.1990","-0.33%"
"Dec 10, 1984","1.2030","1.2030","1.2030","1.2030","-0.04%"
"Dec 07, 1984","1.2035","1.2035","1.2035","1.2035","-0.29%"
"Dec 06, 1984","1.2070","1.2070","1.2070","1.2070","-0.08%"
"Dec 05, 1984","1.2080","1.2080","1.2080","1.2080","-0.04%"
"Dec 04, 1984","1.2085","1.2085","1.2085","1.2085","1.19%"
"Dec 03, 1984","1.1943","1.1943","1.1943","1.1943","-0.23%"
"Nov 30, 1984","1.1970","1.1970","1.1970","1.1970","-0.37%"
"Nov 29, 1984","1.2015","1.2015","1.2015","1.2015","0.04%"
"Nov 28, 1984","1.2010","1.2010","1.2010","1.2010","-0.64%"
"Nov 27, 1984","1.2087","1.2087","1.2087","1.2087","0.77%"
"Nov 26, 1984","1.1995","1.1995","1.1995","1.1995","-1.68%"
"Nov 23, 1984","1.2200","1.2200","1.2200","1.2200","-0.59%"
"Nov 21, 1984","1.2272","1.2272","1.2272","1.2272","-0.83%"
"Nov 20, 1984","1.2375","1.2375","1.2375","1.2375","-0.90%"
"Nov 19, 1984","1.2487","1.2487","1.2487","1.2487","-0.42%"
"Nov 16, 1984","1.2540","1.2540","1.2540","1.2540","-0.56%"
"Nov 15, 1984","1.2610","1.2610","1.2610","1.2610","0.04%"
"Nov 14, 1984","1.2605","1.2605","1.2605","1.2605","-0.87%"
"Nov 13, 1984","1.2715","1.2715","1.2715","1.2715","0.87%"
"Nov 09, 1984","1.2605","1.2605","1.2605","1.2605","-0.72%"
"Nov 08, 1984","1.2697","1.2697","1.2697","1.2697","-0.18%"
"Nov 07, 1984","1.2720","1.2720","1.2720","1.2720","0.28%"
"Nov 05, 1984","1.2685","1.2685","1.2685","1.2685","1.40%"
"Nov 02, 1984","1.2510","1.2510","1.2510","1.2510","1.30%"
"Nov 01, 1984","1.2350","1.2350","1.2350","1.2350","1.35%"
"Oct 31, 1984","1.2185","1.2185","1.2185","1.2185","0.49%"
"Oct 30, 1984","1.2125","1.2125","1.2125","1.2125","0.33%"
"Oct 29, 1984","1.2085","1.2085","1.2085","1.2085","-1.10%"
"Oct 26, 1984","1.2220","1.2220","1.2220","1.2220","-0.45%"
"Oct 25, 1984","1.2275","1.2275","1.2275","1.2275","0.45%"
"Oct 24, 1984","1.2220","1.2220","1.2220","1.2220","1.12%"
"Oct 23, 1984","1.2085","1.2085","1.2085","1.2085","0.79%"
"Oct 22, 1984","1.1990","1.1990","1.1990","1.1990","0.63%"
"Oct 19, 1984","1.1915","1.1915","1.1915","1.1915","0.38%"
"Oct 18, 1984","1.1870","1.1870","1.1870","1.1870","-1.12%"
"Oct 17, 1984","1.2004","1.2004","1.2004","1.2004","-0.26%"
"Oct 16, 1984","1.2035","1.2035","1.2035","1.2035","-0.50%"
"Oct 15, 1984","1.2095","1.2095","1.2095","1.2095","-1.10%"
"Oct 12, 1984","1.2230","1.2230","1.2230","1.2230","-0.16%"
"Oct 11, 1984","1.2250","1.2250","1.2250","1.2250","-0.65%"
"Oct 10, 1984","1.2330","1.2330","1.2330","1.2330","0.41%"
"Oct 09, 1984","1.2280","1.2280","1.2280","1.2280","-0.77%"
"Oct 05, 1984","1.2375","1.2375","1.2375","1.2375","-0.76%"
"Oct 04, 1984","1.2470","1.2470","1.2470","1.2470","-0.20%"
"Oct 03, 1984","1.2495","1.2495","1.2495","1.2495","0.77%"
"Oct 02, 1984","1.2400","1.2400","1.2400","1.2400","0.20%"
"Oct 01, 1984","1.2375","1.2375","1.2375","1.2375","0.28%"
"Sep 28, 1984","1.2340","1.2340","1.2340","1.2340","-0.96%"
"Sep 27, 1984","1.2460","1.2460","1.2460","1.2460","0.40%"
"Sep 26, 1984","1.2410","1.2410","1.2410","1.2410","0.77%"
"Sep 25, 1984","1.2315","1.2315","1.2315","1.2315","-1.12%"
"Sep 24, 1984","1.2455","1.2455","1.2455","1.2455","0.04%"
"Sep 21, 1984","1.2450","1.2450","1.2450","1.2450","1.97%"
"Sep 20, 1984","1.2210","1.2210","1.2210","1.2210","-1.29%"
"Sep 19, 1984","1.2370","1.2370","1.2370","1.2370","0.41%"
"Sep 18, 1984","1.2320","1.2320","1.2320","1.2320","-0.81%"
"Sep 17, 1984","1.2420","1.2420","1.2420","1.2420","-1.90%"
"Sep 14, 1984","1.2660","1.2660","1.2660","1.2660","-0.12%"
"Sep 13, 1984","1.2675","1.2675","1.2675","1.2675","-0.94%"
"Sep 12, 1984","1.2795","1.2795","1.2795","1.2795","0.35%"
"Sep 11, 1984","1.2750","1.2750","1.2750","1.2750","-0.08%"
"Sep 10, 1984","1.2760","1.2760","1.2760","1.2760","0.24%"
"Sep 07, 1984","1.2730","1.2730","1.2730","1.2730","-0.93%"
"Sep 06, 1984","1.2850","1.2850","1.2850","1.2850","0.31%"
"Sep 05, 1984","1.2810","1.2810","1.2810","1.2810","-0.85%"
"Sep 04, 1984","1.2920","1.2920","1.2920","1.2920","-1.19%"
"Aug 31, 1984","1.3075","1.3075","1.3075","1.3075","-0.27%"
"Aug 30, 1984","1.3110","1.3110","1.3110","1.3110","-0.30%"
"Aug 29, 1984","1.3150","1.3150","1.3150","1.3150","0.34%"
"Aug 28, 1984","1.3105","1.3105","1.3105","1.3105","0.23%"
"Aug 27, 1984","1.3075","1.3075","1.3075","1.3075","0.19%"
"Aug 24, 1984","1.3050","1.3050","1.3050","1.3050","-0.57%"
"Aug 23, 1984","1.3125","1.3125","1.3125","1.3125","0.23%"
"Aug 22, 1984","1.3095","1.3095","1.3095","1.3095","-0.30%"
"Aug 21, 1984","1.3135","1.3135","1.3135","1.3135","-0.42%"
"Aug 20, 1984","1.3190","1.3190","1.3190","1.3190","-0.23%"
"Aug 17, 1984","1.3220","1.3220","1.3220","1.3220","-0.41%"
"Aug 16, 1984","1.3275","1.3275","1.3275","1.3275","0.55%"
"Aug 15, 1984","1.3203","1.3203","1.3203","1.3203","0.10%"
"Aug 14, 1984","1.3190","1.3190","1.3190","1.3190","1.07%"
"Aug 13, 1984","1.3050","1.3050","1.3050","1.3050","-0.57%"
"Aug 10, 1984","1.3125","1.3125","1.3125","1.3125","0.08%"
"Aug 09, 1984","1.3115","1.3115","1.3115","1.3115","-0.23%"
"Aug 08, 1984","1.3145","1.3145","1.3145","1.3145","0.65%"
"Aug 07, 1984","1.3060","1.3060","1.3060","1.3060","-0.84%"
"Aug 06, 1984","1.3170","1.3170","1.3170","1.3170","-0.75%"
"Aug 03, 1984","1.3270","1.3270","1.3270","1.3270","1.34%"
"Aug 02, 1984","1.3095","1.3095","1.3095","1.3095","0.65%"
"Aug 01, 1984","1.3010","1.3010","1.3010","1.3010","-0.48%"
"Jul 31, 1984","1.3073","1.3073","1.3073","1.3073","-0.02%"
"Jul 30, 1984","1.3075","1.3075","1.3075","1.3075","-0.27%"
"Jul 27, 1984","1.3110","1.3110","1.3110","1.3110","-1.49%"
"Jul 26, 1984","1.3308","1.3308","1.3308","1.3308","-0.13%"
"Jul 25, 1984","1.3325","1.3325","1.3325","1.3325","0.64%"
"Jul 24, 1984","1.3240","1.3240","1.3240","1.3240","0.42%"
"Jul 23, 1984","1.3185","1.3185","1.3185","1.3185","-0.36%"
"Jul 20, 1984","1.3232","1.3232","1.3232","1.3232","-0.36%"
"Jul 19, 1984","1.3280","1.3280","1.3280","1.3280","1.07%"
"Jul 18, 1984","1.3140","1.3140","1.3140","1.3140","-0.27%"
"Jul 17, 1984","1.3175","1.3175","1.3175","1.3175","-0.68%"
"Jul 16, 1984","1.3265","1.3265","1.3265","1.3265","0.23%"
"Jul 13, 1984","1.3235","1.3235","1.3235","1.3235","1.30%"
"Jul 12, 1984","1.3065","1.3065","1.3065","1.3065","-0.42%"
"Jul 11, 1984","1.3120","1.3120","1.3120","1.3120","0.19%"
"Jul 10, 1984","1.3095","1.3095","1.3095","1.3095","0.27%"
"Jul 09, 1984","1.3060","1.3060","1.3060","1.3060","-0.76%"
"Jul 06, 1984","1.3160","1.3160","1.3160","1.3160","-0.15%"
"Jul 05, 1984","1.3180","1.3180","1.3180","1.3180","-1.42%"
"Jul 03, 1984","1.3370","1.3370","1.3370","1.3370","-1.02%"
"Jul 02, 1984","1.3508","1.3508","1.3508","1.3508","-0.49%"
"Jun 29, 1984","1.3575","1.3575","1.3575","1.3575","0.37%"
"Jun 28, 1984","1.3525","1.3525","1.3525","1.3525","0.26%"
"Jun 27, 1984","1.3490","1.3490","1.3490","1.3490","-0.15%"
"Jun 26, 1984","1.3510","1.3510","1.3510","1.3510","0.00%"
"Jun 25, 1984","1.3510","1.3510","1.3510","1.3510","-0.90%"
"Jun 22, 1984","1.3633","1.3633","1.3633","1.3633","0.10%"
"Jun 21, 1984","1.3620","1.3620","1.3620","1.3620","-0.29%"
"Jun 20, 1984","1.3660","1.3660","1.3660","1.3660","-0.87%"
"Jun 19, 1984","1.3780","1.3780","1.3780","1.3780","0.23%"
"Jun 18, 1984","1.3748","1.3748","1.3748","1.3748","-0.27%"
"Jun 15, 1984","1.3785","1.3785","1.3785","1.3785","-0.47%"
"Jun 14, 1984","1.3850","1.3850","1.3850","1.3850","-0.04%"
"Jun 13, 1984","1.3855","1.3855","1.3855","1.3855","0.14%"
"Jun 12, 1984","1.3835","1.3835","1.3835","1.3835","-0.32%"
"Jun 11, 1984","1.3880","1.3880","1.3880","1.3880","-0.39%"
"Jun 08, 1984","1.3935","1.3935","1.3935","1.3935","-0.24%"
"Jun 07, 1984","1.3968","1.3968","1.3968","1.3968","-0.34%"
"Jun 06, 1984","1.4015","1.4015","1.4015","1.4015","0.50%"
"Jun 05, 1984","1.3945","1.3945","1.3945","1.3945","-0.39%"
"Jun 04, 1984","1.4000","1.4000","1.4000","1.4000","-0.25%"
"Jun 01, 1984","1.4035","1.4035","1.4035","1.4035","1.30%"
"May 31, 1984","1.3855","1.3855","1.3855","1.3855","0.11%"
"May 30, 1984","1.3840","1.3840","1.3840","1.3840","-0.11%"
"May 29, 1984","1.3855","1.3855","1.3855","1.3855","0.18%"
"May 25, 1984","1.3830","1.3830","1.3830","1.3830","0.07%"
"May 24, 1984","1.3820","1.3820","1.3820","1.3820","0.40%"
"May 23, 1984","1.3765","1.3765","1.3765","1.3765","-0.90%"
"May 22, 1984","1.3890","1.3890","1.3890","1.3890","-0.11%"
"May 21, 1984","1.3905","1.3905","1.3905","1.3905","0.27%"
"May 18, 1984","1.3867","1.3867","1.3867","1.3867","-0.52%"
"May 17, 1984","1.3940","1.3940","1.3940","1.3940","0.00%"
"May 16, 1984","1.3940","1.3940","1.3940","1.3940","0.47%"
"May 15, 1984","1.3875","1.3875","1.3875","1.3875","-0.04%"
"May 14, 1984","1.3880","1.3880","1.3880","1.3880","0.33%"
"May 11, 1984","1.3835","1.3835","1.3835","1.3835","0.04%"
"May 10, 1984","1.3830","1.3830","1.3830","1.3830","-0.43%"
"May 09, 1984","1.3890","1.3890","1.3890","1.3890","0.47%"
"May 08, 1984","1.3825","1.3825","1.3825","1.3825","-0.22%"
"May 07, 1984","1.3855","1.3855","1.3855","1.3855","-1.60%"
"May 04, 1984","1.4080","1.4080","1.4080","1.4080","-0.35%"
"May 03, 1984","1.4130","1.4130","1.4130","1.4130","1.00%"
"May 02, 1984","1.3990","1.3990","1.3990","1.3990","0.11%"
"May 01, 1984","1.3975","1.3975","1.3975","1.3975","-0.04%"
"Apr 30, 1984","1.3980","1.3980","1.3980","1.3980","-0.25%"
"Apr 27, 1984","1.4015","1.4015","1.4015","1.4015","-0.16%"
"Apr 26, 1984","1.4038","1.4038","1.4038","1.4038","-0.55%"
"Apr 25, 1984","1.4115","1.4115","1.4115","1.4115","0.31%"
"Apr 24, 1984","1.4072","1.4072","1.4072","1.4072","-0.59%"
"Apr 23, 1984","1.4155","1.4155","1.4155","1.4155","-0.04%"
"Apr 20, 1984","1.4160","1.4160","1.4160","1.4160","-0.12%"
"Apr 19, 1984","1.4177","1.4177","1.4177","1.4177","-0.11%"
"Apr 18, 1984","1.4192","1.4192","1.4192","1.4192","-0.13%"
"Apr 17, 1984","1.4211","1.4211","1.4211","1.4211","-0.03%"
"Apr 16, 1984","1.4215","1.4215","1.4215","1.4215","-0.52%"
"Apr 13, 1984","1.4290","1.4290","1.4290","1.4290","0.00%"
"Apr 12, 1984","1.4290","1.4290","1.4290","1.4290","-0.49%"
"Apr 11, 1984","1.4360","1.4360","1.4360","1.4360","-0.07%"
"Apr 10, 1984","1.4370","1.4370","1.4370","1.4370","0.84%"
"Apr 09, 1984","1.4250","1.4250","1.4250","1.4250","-0.35%"
"Apr 06, 1984","1.4300","1.4300","1.4300","1.4300","0.28%"
"Apr 05, 1984","1.4260","1.4260","1.4260","1.4260","-0.45%"
"Apr 04, 1984","1.4325","1.4325","1.4325","1.4325","0.07%"
"Apr 03, 1984","1.4315","1.4315","1.4315","1.4315","-0.10%"
"Apr 02, 1984","1.4330","1.4330","1.4330","1.4330","-0.31%"
"Mar 30, 1984","1.4375","1.4375","1.4375","1.4375","-0.93%"
"Mar 29, 1984","1.4510","1.4510","1.4510","1.4510","0.31%"
"Mar 28, 1984","1.4465","1.4465","1.4465","1.4465","-0.03%"
"Mar 27, 1984","1.4470","1.4470","1.4470","1.4470","-0.03%"
"Mar 26, 1984","1.4475","1.4475","1.4475","1.4475","0.80%"
"Mar 23, 1984","1.4360","1.4360","1.4360","1.4360","0.40%"
"Mar 22, 1984","1.4303","1.4303","1.4303","1.4303","-0.07%"
"Mar 21, 1984","1.4313","1.4313","1.4313","1.4313","-0.54%"
